data_index,case_id,raw_case_name,source_x_mm,source_y_mm,source_z_mm,leak_rate_ml_min,min,max,mean,std,sum,finite_ratio,flags
11,case_0011,"200,-150,0,400mlmin",200,-150,0,400,4.7463922214774357e-07,0.12598773837089539,0.0006242393865250051,0.0004969372530467808,8284.303567052257,1.0,
12,case_0012,"200,-150,0,50mlmin",200,-150,0,50,3.0918795346224215e-07,0.02271147258579731,7.846208609407768e-05,5.819967918796465e-05,1041.2743915430299,1.0,
13,case_0013,"200,-150,0,600mlmin",200,-150,0,600,6.700863650621613e-07,0.16014763712882996,0.0009359463001601398,0.0007148651638999581,12420.973613840435,1.0,
14,case_0014,"200,-150,0,800mlmin",200,-150,0,800,7.627762101947155e-07,0.18867960572242737,0.0012475090334191918,0.0009318137308582664,16555.73970406901,1.0,
15,case_0015,"200,-150,0,200mlmin",200,-150,0,200,4.762403591485054e-07,0.09313242137432098,0.00031237726216204464,0.0002690764085855335,4145.570856572848,1.0,
16,case_0016,"6,200,-300,100",200,-300,0,100,1.273730561024422e-07,0.6404489278793335,0.00015952848480083048,0.0012380230473354459,2117.109018436724,1.0,
17,case_0017,"6,200,-300,1000",200,-300,0,1000,8.285847457045747e-07,0.9602342247962952,0.0015708014834672213,0.0031268196180462837,20846.159827146526,1.0,
18,case_0018,"6,200,-300,200",200,-300,0,200,3.6434664707485354e-07,0.7667897939682007,0.0003177332691848278,0.001926100580021739,4216.650473536086,1.0,
19,case_0019,"6,200,-300,400",200,-300,0,400,4.395190558170725e-07,0.8827934265136719,0.0006313293124549091,0.002474491950124502,8378.397215562822,1.0,
20,case_0020,"6,200,-300,50",200,-300,0,50,6.332579260970306e-08,0.431029736995697,7.945708784973249e-05,0.0005242350162006915,1054.4779922713597,1.0,
21,case_0021,"6,200,-300,600",200,-300,0,600,6.029111432326317e-07,0.9302610754966736,0.0009444489842280746,0.002761834068223834,12533.82884581673,1.0,
22,case_0022,"6,200,-300,800",200,-300,0,800,6.619351324843592e-07,0.9500800371170044,0.0012578032910823822,0.0029666400514543056,16692.35789467013,1.0,
23,case_0023,"6,200,-150,100",200,-150,0,100,1.445412465272966e-07,0.07194256782531738,0.0001563405676279217,0.00014709826791658998,2074.801951285293,1.0,
24,case_0024,Q100-X300-Y0-Fraction,300,0,0,100,1.7784779515750415e-07,0.011520863510668278,0.00015621476632077247,9.616547322366387e-05,2073.13376549587,1.0,
25,case_0025,Q100-X400-Y0-Fraction,400,0,0,100,1.7883580483157857e-07,0.016158536076545715,0.0001563318510306999,0.00010163761908188462,2074.685780094159,1.0,
26,case_0026,Q1000-X300-Y0-Fraction,300,0,0,1000,3.5436207781458506e-06,0.10492029786109924,0.001570126274600625,0.0009911642409861088,20837.189050488698,1.0,
27,case_0027,Q1000-X400-Y0-Fraction,400,0,0,1000,9.017711590786348e-07,0.09434168040752411,0.001560285920277238,0.0010077782208099961,20706.60114065897,1.0,
28,case_0028,Q200-X300-Y0-Fraction,300,0,0,200,4.585876922647003e-07,0.0230601467192173,0.00031220470555126667,0.0001958308566827327,4143.281866421401,1.0,
29,case_0029,Q200-X400-Y0-Fraction,400,0,0,200,3.5114717888973246e-07,0.02722666598856449,0.000312509189825505,0.0002074870717478916,4147.322634438946,1.0,
30,case_0030,Q400-X300-Y0-Fraction,300,0,0,400,5.512131338036852e-07,0.03460131585597992,0.0006241692462936044,0.00039123708847910166,8283.374516915066,1.0,
31,case_0031,Q400-X400-Y0-Fraction,400,0,0,400,4.6097812855805387e-07,0.04804548993706703,0.0006246882257983088,0.00041056377813220024,8290.258450256857,1.0,
32,case_0032,Q50-X300-Y0-Fraction,300,0,0,50,6.544633723848392e-09,0.0010416836012154818,6.5345789153070655e-06,4.954177256877301e-06,86.72060037435674,1.0,
33,case_0033,Q50-X400-Y0-Fraction,400,0,0,50,7.595320994369104e-08,0.00507713295519352,7.711844227742404e-05,4.7564444685122e-05,1023.4406030604349,1.0,
34,case_0034,Q600-X300-Y0-Fraction,300,0,0,600,7.536764883298019e-07,0.048563532531261444,0.000936005380935967,0.0005811431910842657,12421.759324144623,1.0,
35,case_0035,Q600-X400-Y0-Fraction,400,0,0,600,6.684086883979035e-07,0.06944310665130615,0.0009366770391352475,0.0006073149270378053,12430.680651030136,1.0,
36,case_0036,Q800-X300-Y0-Fraction,300,0,0,800,8.527869113095221e-07,0.09076906740665436,0.0012475340627133846,0.0007913177832961082,16556.09625192144,1.0,
